study_hours,attendance_percentage,sleep_hours,family_income,internet_speed_mbps,number_of_subjects,extracurricular_activities,parental_support,motivation_level,performance
2,72,5.5,18000,4,5,No,Low,Low,Poor
1,55,4.2,12000,2,6,No,Low,Low,Poor
3,68,6,22000,7,5,No,Medium,Low,Poor
2,60,5,15000,3,5,No,Low,Medium,Poor
1,50,4,10000,1,7,No,Low,Low,Poor
4,78,6.5,28000,9,6,No,Medium,Medium,Average
3,72,6,25000,6,6,No,Low,Medium,Average
5,82,7,35000,12,7,Yes,Medium,Medium,Average
4,75,6.5,30000,8,6,Yes,Medium,Medium,Average
3,70,5.5,20000,5,6,No,Low,Medium,Average
6,88,7.5,42000,16,7,Yes,Medium,High,Good
7,90,7,45000,18,8,Yes,High,High,Good
6,85,7.5,40000,14,7,Yes,Medium,High,Good
5,82,7,38000,13,6,Yes,Medium,Medium,Good
7,92,8,48000,20,8,Yes,High,High,Good
8,95,8,55000,24,8,Yes,High,High,Excellent
9,98,8,65000,28,8,Yes,High,High,Excellent
8,94,7.5,60000,26,8,Yes,High,High,Excellent
7,91,8,50000,22,7,Yes,High,High,Excellent
9,96,8,68000,30,8,Yes,High,High,Excellent
2,65,5,16000,3,5,No,Low,Low,Poor
3,70,5.5,19000,4,6,No,Medium,Low,Average
4,80,6.5,32000,11,6,Yes,Medium,Medium,Average
5,85,7,37000,15,7,Yes,Medium,High,Good
6,90,7.5,44000,19,7,Yes,High,High,Good
7,93,8,52000,23,8,Yes,High,High,Excellent
8,97,8,62000,27,8,Yes,High,High,Excellent
2,58,4.5,13000,2,5,No,Low,Low,Poor
3,68,6,23000,6,6,No,Low,Medium,Average
5,83,7,36000,13,7,Yes,Medium,High,Good
7,92,8,50000,21,8,Yes,High,High,Excellent
1,52,4,9000,1,6,No,Low,Low,Poor
4,77,6.5,29000,10,6,No,Medium,Medium,Average
6,87,7.5,41000,17,7,Yes,Medium,High,Good
8,96,8,58000,25,8,Yes,High,High,Excellent
3,63,5.5,17000,4,5,No,Low,Medium,Poor
4,75,6.5,27000,9,6,Yes,Medium,Medium,Average
6,89,7.5,43000,18,8,Yes,High,High,Good
7,91,8,49000,20,7,Yes,High,High,Excellent
9,99,8,70000,31,8,Yes,High,High,Excellent
2,61,5,14000,3,5,No,Low,Low,Poor
5,84,7,39000,14,7,Yes,Medium,High,Good
6,88,7.5,42000,16,7,Yes,High,High,Good
7,90,7,46000,19,8,Yes,High,High,Good
8,94,8,56000,23,8,Yes,High,High,Excellent
1,48,4,8000,1,5,No,Low,Low,Poor
